"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"2176",9820818,"f","Other neighborhoods",47.6764701385461,-122.26818273751,"Apartment","Entire home/apt",5,1,2,3,125,250,50,1,73,1,"t",100
"2177",8754180,"f","Other neighborhoods",47.6817149542442,-122.276022527876,"House","Entire home/apt",8,2,3,4,175,500,100,6,76,2,"f",60
"2178",8904766,"f","Rainier Valley",47.5254316621198,-122.278233675749,"House","Private room",2,1,1,1,38,0,9,1,56,1,"f",100
"2179",3186785,"t","Rainier Valley",47.5212935147261,-122.273182253588,"House","Private room",6,1,1,1,70,300,30,3,145,22,"f",98
"2180",1885801,"f","Rainier Valley",47.5267395971422,-122.274799875274,"House","Private room",4,1,1,1,150,250,50,4,364,0,"f",96
"2181",8006745,"f","Rainier Valley",47.5276518948841,-122.2659661537,"House","Entire home/apt",4,2,3,2,65,0,45,1,3,3,"f",100
"2182",7013085,"f","Rainier Valley",47.5276450884527,-122.277402394647,"House","Entire home/apt",4,1,2,2,99,0,17,4,342,47,"f",90
"2183",6546748,"f","Rainier Valley",47.5245653256088,-122.260918822028,"House","Entire home/apt",6,3,3,3,295,0,250,6,345,7,"f",100
"2184",4526737,"t","Rainier Valley",47.5274935358314,-122.260957480268,"Apartment","Entire home/apt",2,1,1,1,95,250,50,1,186,15,"f",100
"2185",3335,"f","Rainier Valley",47.5298464744082,-122.275839521958,"Other","Entire home/apt",4,1,2,2,120,200,75,2,309,0,"f",96
"2186",4735761,"f","Rainier Valley",47.5241353253849,-122.275976361702,"Apartment","Shared room",4,1,1,1,45,0,0,1,365,7,"f",94
"2187",1672979,"f","Rainier Valley",47.5275106383876,-122.266627798924,"House","Private room",2,2,1,1,68,0,30,2,365,18,"f",96
"2188",7388899,"f","Rainier Valley",47.5190540512462,-122.270417785787,"House","Private room",2,1,1,2,55,0,0,1,331,14,"f",93
"2189",8052307,"f","Rainier Valley",47.5228344608974,-122.273992239369,"Apartment","Shared room",2,1,1,1,40,0,5,1,365,6,"f",93
"2190",9068366,"f","Rainier Valley",47.5273180610689,-122.277909095171,"House","Private room",2,1,1,1,36,0,0,1,46,0,"f",96
"2191",6117473,"f","Rainier Valley",47.5297563485341,-122.275699907642,"Other","Private room",2,1,1,1,48,100,0,1,365,20,"f",92
"2192",8541389,"f","Rainier Valley",47.5234372871094,-122.275754756009,"House","Shared room",2,1,1,1,90,0,0,1,365,0,"f",96
"2193",7745016,"f","Rainier Valley",47.5306667261626,-122.275409011108,"House","Private room",2,1,1,1,50,100,0,1,125,2,"f",100
"2194",6557297,"t","Rainier Valley",47.519886124604,-122.274055361329,"House","Private room",2,1,1,1,60,300,15,1,145,21,"f",94
"2195",1263470,"f","Rainier Valley",47.5308975218507,-122.277116021927,"House","Entire home/apt",2,1,1,1,100,200,50,2,187,6,"f",77
"2196",7415378,"t","Rainier Valley",47.5198166415953,-122.274763622253,"House","Entire home/apt",14,2,2,3,200,300,40,3,165,1,"f",100
"2197",8849596,"f","Rainier Valley",47.5277340661384,-122.278902851947,"House","Private room",2,1,1,1,42,0,9,1,58,0,"f",96
"2198",7902382,"f","Rainier Valley",47.5173406775276,-122.261370623435,"House","Private room",2,1,1,1,35,500,10,1,111,16,"t",95
"2199",4772997,"t","Rainier Valley",47.5085025818445,-122.260980351173,"House","Private room",2,1,1,1,67,0,25,2,365,16,"f",99
"2200",4708075,"f","Rainier Valley",47.5185543702277,-122.270774966147,"House","Private room",2,1,1,1,55,0,0,1,365,13,"f",92
"2201",3859882,"f","Rainier Valley",47.5189385593855,-122.257084943304,"House","Private room",2,1,1,1,65,0,20,2,102,4,"f",100
"2202",4711069,"f","Rainier Valley",47.5101643318404,-122.260442571039,"House","Entire home/apt",12,3,4,4,169,300,95,4,306,42,"f",91
"2203",7713043,"f","Rainier Valley",47.5072840735225,-122.254188575142,"Other","Entire home/apt",2,0,0,2,75,100,20,2,365,7,"f",91
"2204",174636,"f","Rainier Valley",47.511457195764,-122.256080995937,"House","Private room",3,1,1,2,88,100,10,1,364,32,"f",95
"2205",8195348,"f","Rainier Valley",47.5174534105066,-122.258186082639,"House","Private room",2,1,1,1,60,0,0,2,365,3,"f",100
"2206",7902068,"f","Rainier Valley",47.517901360111,-122.262212667224,"House","Private room",2,1,1,1,35,500,10,1,88,16,"t",90
"2207",4832481,"t","Rainier Valley",47.514651689512,-122.259320187382,"House","Private room",2,1,1,1,57,0,20,1,358,12,"f",95
"2208",7902268,"f","Rainier Valley",47.5173857265742,-122.261484510897,"House","Private room",2,1,1,1,37,500,10,1,82,12,"t",98
"2209",4559222,"f","Rainier Valley",47.5185240588396,-122.257825653284,"House","Private room",2,1,1,1,60,0,20,2,365,14,"f",92
